"5afb","<C_YELLOW>ディーナ王妃<C_NONE>
<IF0016><JUMP5d1c><SET0016>アトラス ご苦労さまでした。
報告によると すべての 竜の卵が
以前のように 戻ったそうです。

あとは 国王さまたちの ぐあいが
よくなりしだい たいかんの儀式を
行うことに しましょう。

<CH1>
おー すげえじゃねえか アトラス。<WAIT>
でも その前に ひと仕事しなくちゃな。

<CH0>
そうなんです 母上。

もう少し しなければ 詳しいことは
話せませんが まだ 竜の卵のさわぎの後始末をしなければ ならないのです。

<C_YELLOW>ディーナ王妃<C_NONE>
まあ まだ何か あるのですか ･ ･ ･

でも あなたたちは あれだけのことをやってのけたのですから いまさら
心配することなど ありませんね。

<LOC5d1c>あなたたちが ぶじに 戻って
くることを 祈っています。",""
"5d51","<C_YELLOW>フェリシア<C_NONE>
まだ 何かしなければ ならないことがあるのですか？

あなたの その行動的なところは
よいのですが くれぐれも 無謀な
ことを しないようにするのですよ。",""
"5dee","<C_YELLOW>兵士<C_NONE>
王子さまのおかげで 竜の卵も もとに戻りましたし モンスターも いなく
なりました。",""
"5e45","<C_YELLOW>兵士<C_NONE>
王子さま あのモンスターは いったい何だったのですか？

以前 さわぎになった 破壊神
アグニージャとかいうやつと 何か
関係があるのですか？",""
"5ed1","<C_YELLOW>兵士<C_NONE>
王子さま どのようにして 竜の卵を
もとに戻したのですか？

竜の卵に 入れるのは ラヌーラの
司祭 バーバラさまだけだと きいて
おりますが ･ ･ ･",""
"5f61","<C_YELLOW>兵士<C_NONE>
セリオスさまたちが あのように
大けがを なさるとは ･ ･ ･
王子さまも お気をつけください。",""
"5fc0","<C_YELLOW>兵士<C_NONE>
ソルディスでは 司祭 バーバラさまが竜の卵を 正常にしたという うわさが広がっているそうです。",""
"6022","<C_YELLOW>兵士<C_NONE>
王子さま セリオスさまたちは どこであのようなけがを されたのですか？",""
"606d","<C_YELLOW>兵士<C_NONE>
王子さま あのさわぎの原因は
いったい 何だったのですか？

女神 フレイアさまが お怒りに
なったという うわさが 広まっているようですが ･ ･ ･",""
"60fc","<C_YELLOW>兵士<C_NONE>
王子さま あまり 無理をしないようにしてください。",""
"6134","<C_YELLOW>教育係 ラウエル<C_NONE>
<Xf624d6><JUMP61dd>おお そうでしたな。
もう その親書は あまり意味が
なくなったようですな。

私が お預かりしましょう。

<ASMd631><ITEM><C_GREEN>を 渡しました。
<C_NONE><ASMd639><ITEM><C_GREEN>を 渡しました。<SND0103><C_NONE>

<LOC61dd>王子さま どうか 無理をなさらずに
元気な姿で お戻りください。",""
"621a","<C_YELLOW>セリオス<C_NONE>
きさまら ･ ･ ･ 地上を ･ ･ ･",""
"6241","<C_YELLOW>エリオン<C_NONE>
きさまらに ･ ･ ･ 支配など ･ ･ ･
させん ･ ･ ･",""
"6279","<C_YELLOW>ゲイル３世<C_NONE>
てめえら ･ ･ ･ おぼえてろ ･ ･ ･",""
