"5ac7","<X1e>ディーナ王妃<X04>
アトラス、だいたいの話は
ゲイル殿から きいています。

その話をきいて 陛下たちも 地底に
手助けに向かいました。

<CH0>
そうでしたか ･ ･ ･ 父上たちは
まだ完全には 治っていないのでは
ありませんか？

<X1e>ディーナ王妃<X04>
ええ ･ ･ ･ でも あの方たちは
私が何と言おうが 聞く耳を
持っておりません。

すぐに 出発してしまいました。

<LOC5c0a>アトラス、そして 仲間のみなさん。
一刻も早く 地底で 苦しんでいる
人たちを 救ってあげてください。"
"5c6b","<X1e>ディーナ王妃<X04>
<JUMP5c0a><LOC5c7d><X1e>フェリシア<X04>
どうして あなたも セリオスも
落ちついて いられないのですか？

でも 何か とても 大変なことが
起こっていると いうことぐらいは
想像できます。

くれぐれも むりをしないように。"
"5d34","<X1e>兵士<X04>
王子さまのおかげで 竜の卵も もとに戻りましたし モンスターも いなく
なりました。"
"5d8b","<X1e>兵士<X04>
王子さま あのモンスターは いったい何だったのですか？

以前 さわぎになった 破壊神
アグニージャとかいうやつと 何か
関係があるのですか？"
"5e17","<X1e>兵士<X04>
王子さま どのようにして 竜の卵を
もとに戻したのですか？

竜の卵に 入れるのは ラヌーラの
司祭 バーバラさまだけだと きいて
おりますが ･ ･ ･"
"5ea7","<X1e>兵士<X04>
セリオスさまたちが また どこかに
お出かけになりました。
"
"5ee7","<X1e>兵士<X04>
ソルディスでは 司祭 バーバラさまが竜の卵を 正常にしたという うわさが広がっているそうです。"
"5f49","<X1e>兵士<X04>
王子さま セリオスさまたちは なぜ
あんなに ケガをされているのに
出かけられたのですか？"
"5fa6","<X1e>兵士<X04>
王子さま あのさわぎの原因は
いったい 何だったのですか？

女神 フレイアさまが お怒りに
なったという うわさが 広まっているようですが ･ ･ ･"
"6035","<X1e>兵士<X04>
王子さま あまり 無理をしないようにしてください。"
"606d","<X1e>教育係 ラウエル<X04>
<Xf60fd6><JUMP6116>おお そうでしたな。
もう その親書は あまり意味が
なくなったようですな。

私が お預かりしましょう。

<ASMd61c><X0e><X1c>を 渡しました。
<X04><ASMd624><X0e><X1c>を 渡しました。<X0c0301><X04>

<LOC6116>セリオスさまたちが またお出かけに
なられました。

ゲイル殿が やってきて 何やら話を
すると すぐに戦闘用の装備をして
３人とも出て行かれました。

まだ ケガが完全に治っていないのに
心配でなりません。"
