"5bc2","<C_YELLOW>ドレイク<C_NONE>
な、何だよ お前ら？
またあの箱を 止めてほしいのか？<WAIT>
先に行ってるから 早く来いよ。<SET00ea><ASMd683>",""
"5c25","<CALL60c8>なんだ おめーら？
よく ここまで 来れたもんだな。

でもな こんなとこに 来たって
金スラれるぐらいなもんだぜ。
ひでえ目 あわねえうちに 帰りな。",""
"5cb4","<CALL60c8>大盗賊 ゲイルさまは どこに行って
しまったんだろう？

あの 大地震の後で いつものように
「散歩に行く」と言って
出かけていったのが 最後だったな。",""
"5d45","<CALL60c8>ゲイル３世さまは 英雄の
ひとりなんですよ。

だから 大盗賊 ゲイルさまの 跡は
継がないとか言って いつも けんか
ばかりしているんです。",""
"5dcb","<CALL60c8>ドレイクの子分が ずっと 帰ってきてないけど どうしたんだろう。",""
"5e0c","<CALL60c8>いくらがんばっても この扉は 絶対にあかねえように なってるんだ。

作った人が言ってるからまちがいねえ。ムダなことは やめときな。",""
"5e8d","<CALL60c8>ドレイクのやつ 毎日 どこかに
出かけてるんだ。<WAIT>
いったい 何やってるんだろう。",""
"5edc","<CALL60c8>ゲイル２世さまは ラルフという
名前で 考古学者に なっていて
助手まで いるんですよ。

あの人も 最近 見かけないけど
どこに 行ってしまったのか。",""
"5f6b","<CALL60c8>この宝は 大盗賊 ゲイルさまの
一番大切な物だから だれにも
さわらせられねえよ。

ここだけの話だけど この中には
銀の笛ってのが 入ってるらしいぜ。",""
"60c8","<C_YELLOW>盗賊<C_NONE><RET_N>",""
"5ffc","<PARTY>は 石碑を読みました。


『この部屋の宝に触れるべからず
                   大盗賊 ゲイル』",""
"6056","<PARTY>は 石碑を読みました。


『この回廊を走るべからず
               　　大盗賊 ゲイル』",""
"60aa","<C_GREEN>扉は 開きそうもありません。<C_NONE>",""
