"5b2d","<C_YELLOW>男<C_NONE>
王子さま、竜の卵は 不吉な物
なんでしょうか？
せっかく よろこんで いたのに ･ ･ ･",""
"5b82","<C_YELLOW>男<C_NONE>
こんなことに なるんだったら
竜の卵なんか 出てこなければ
よかったんですよ。",""
"5bd2","<C_YELLOW>男<C_NONE>
<IF0015><JUMP5c2b>あっ 王子さま、モンスターが
クルスの村を おそって つぶして
しまったんですよ。<END>
<LOC5c2b><IF_NOT00f0><JUMP5c7d>あっ 王子さま、モンスターの数が
ますます 増えて 凶暴になった
らしいですよ。<END>
<LOC5c7d>モンスターが 増えたと思ったら
こんどは 急に いなくなったとは。
これは いったい 何なのでしょうか？",""
"5cdf","<C_YELLOW>男<C_NONE>
王子さま、武器屋のスコットは
<IF0015><JUMP5d77>地震が 起こってから ずっと寝たままなんですよ。

もし モンスターが おそってきたら
どうする つもりなんでしょうね。<END>
<LOC5d77>武器屋は やめて 魚屋を 始めるとか
言っているんですよ。",""
"5dae","<C_YELLOW>男<C_NONE>
<IF0015><JUMP5e10>いくら モンスターが 出てきても
セリオスさまがいれば きっと
やっつけて くれるでしょう。<END>
<LOC5e10><IF_NOT00f0><JUMP5e6d>モレストンとソルディスでは
モンスターが いなくなったと
きいたのですが 本当でしょうか。<END>
<LOC5e6d>ファーレーンの モンスターは いなくなったけど ウォンリークのほうは
どうなってるんでしょう。",""
"5ec8","<C_YELLOW>女<C_NONE>
<IF0015><JUMP5f38>クルスが つぶされたそうですよ。
ここにも 何人か 逃げてきてますけどよく けがを しなかったものですわ。<END>
<LOC5f38><IF_NOT00f0><JUMP5f90>このまま モンスターが 増えたら
この町も クルスのように つぶされてしまうのかしら。<END>
<LOC5f90>あのまま モンスターが 増え続けたらどうなるかと 心配していたんです。
よかったわ。",""
"5fe1","<C_YELLOW>女<C_NONE>
竜の卵が 出てきたのは いいことの
前ぶれだと 思っていたのに どうしてこんなことに なったのかしら ･ ･ ･",""
"604b","<C_YELLOW>老人<C_NONE>
アロン殿は クルスの村が つぶされてしまったので すっかり 気落ちして
おるのです。",""
"60a2","<C_YELLOW>兵士<C_NONE>
<IF0015><JUMP6141>モンスターが 現れたというのに
なぜか 国民から 危機感というものが感じられないのです。

セリオスさまが 何とかしてくれると
思っているからでしょうか？<END>
<LOC6141>王子さま ルディアのことは
ご安心ください。
<IF_NOT00f0><JUMP6192>われわれが 必ず守ってみせます。<END>
<LOC6192>

いつまた やつらが 出てきても
いいようにと 準備しておりますから。",""
"61d4","<C_YELLOW>兵士<C_NONE>
<IF0015><JUMP6234>王子さま ご安心ください。
もしモンスターが 来たら われわれがやっつけてやりますよ。<END>
<LOC6234><IF_NOT00f0><JUMP628d>いくら モンスターが 多くなっても
この町には １匹も 入らせません。
ご安心ください。<END>
<LOC628d>王子さま ご安心ください。
もし またモンスターが 出てきても
われわれが やっつけてやりますから。",""
"62ec","<C_YELLOW>スコット<C_NONE>
あっ これは 王子さま。
地震のときに 家にあった武器が
私めがけて 落ちてきたのです。

今でも 武器を見ると 体のふるえが
止まらなくなるんです。<IF0015><JUMP6388><END>
<LOC6388>

だから もう武器屋はやめて 魚屋でも始めようかと 思っているんです。",""
"63cb","<C_YELLOW>アロン<C_NONE>
おお これは アトラスさま。
私の思い出の場所である クルスが
つぶされてしまいました。

せっかく あそこで のんびりと
くらしていたのに ･ ･ ･",""
"645c","<C_YELLOW>女<C_NONE>
<IF0015><JUMP6504>モンスターが 攻めてきたとき 村には私と アロンさんしか いなかったの。

他の男の人たちは 鉱山を手伝いに
行っていたから あの恐ろしい体験を
したのは ２人だけね。<END>
<LOC6504>この町も クルスのように
<IF_NOT00f0><JUMP653e>ならなければ いいんだけど。<END>
<LOC653e>ならなくて よかったわ。",""
"6556","<C_YELLOW>バーテン<C_NONE>
これは王子さま、いらっしゃいませ。お酒は 出せませんが ゆっくり
なさっていってください。",""
"65b9","<C_YELLOW>道具屋<C_NONE>
おや 王子さま、いらっしゃい。
どのような ご用でしょうか？<RET_N>",""
"65fc","また来てくださいね。",""
"6674","どれを 売ってくれますか？
<RET_N>",""
"668f"," Gold になるけど
それでも よろしいですか？
<RET_N>",""
"66bb","それは残念です。

<RET_N>",""
"66cd","どうも ありがとうございます。
<RET_N>",""
"6611","おや？これ以上持てないようですね。

<RET>",""
"6635","どれを買ってくれますか？
<RET_N>",""
"664f","<ITEM>だね。
どうも ありがとう。

<RET>",""
