"5b1d","<X1e>男<X04>
王子さまが 竜の卵を もとに戻したとききましたが 本当ですか？",""
"5b5e","<X1e>男<X04>
いやー よかった よかった。
これでまた 前のように 安心して
寝ることができますよ。",""
"5bb4","<X1e>男<X04>
兵士たちが クルスの村の 復旧作業をしているそうですが もう 本当に
モンスターは 出てこないのですか？",""
"5c1c","<X1e>男<X04>
王子さま、武器屋のスコットは
武器屋を やめて 魚屋を始めることにしたそうですよ。",""
"5c71","<X1e>女<X04>
平和になったのは 王子さまの
おかげだと 兵士さんが 言って
いましたけど 本当ですか？",""
"5cc9","<X1e>女<X04>
あら これは 王子さま。
竜の卵を 戻したのは 王子さまだと
ききましたわよ。

そうだとしたら セリオスさまは
何をされているのですか？
ドラゴンに乗って 出かけたきり
お姿を 見かけませんけど ･ ･ ･",""
"5d8a","<X1e>老人<X04>
これは 王子さま。
やはり 平和が いちばんですな。",""
"5dc2","<X1e>兵士<X04>
王子さま、町の者たちも 安心して
生活を しているようです。

でも われわれは 万一の じたいを
考えると まだ安心できないのです。",""
"5e45","<X1e>兵士<X04>
これは 王子さま。
こうしていると 平和の ありがたさがよくわかりますよ。",""
"5e93","<X1e>スコット<X04>
あっ これは 王子さま。
もう武器屋は やめて 魚屋を
始めることにしたんです。",""
"5ee9","<X1e>アロン<X04>
おお これは アトラスさま。
兵士たちが クルスの復旧に行って
くれているそうです。

あの思い出の場所に 戻れる日を
楽しみにしておるのです。",""
"5f79","<X1e>バーテン<X04>
これは王子さま、いらっしゃいませ。お酒は 出せませんが ゆっくり
なさっていってください。",""
"5fdc","<X1e>道具屋<X04>
おや 王子さま、いらっしゃい。
どのような ご用でしょうか？<RETN>",""
"601f","また来てくださいね。",""
"6097","どれを 売ってくれますか？
<RETN>",""
"60b2"," Gold になるけど
それでも よろしいですか？
<RETN>",""
"60de","それは残念です。

<RETN>",""
"60f0","どうも ありがとうございます。
<RETN>",""
"6034","おや？これ以上持てないようですね。

<RET_IL>",""
"6058","どれを買ってくれますか？
<RETN>",""
"6072","<X0e>だね。
どうも ありがとう。

<RET_IL>",""
