"5afb","<C_YELLOW>ピート<C_NONE>
ふー ･ ･ ･ つかれた ･ ･ ･

今のうちに 坑道を補強しているんだ。いつ また地震が くるか わからない
からな。",""
"5b6c","<C_YELLOW>男<C_NONE>
みんな 忙しいんだから 作業の
じゃまをするなよ。",""
"5bd7","<C_YELLOW>男<C_NONE>
忙しい 忙しい ･ ･ ･",""
"5bf0","<C_YELLOW>男<C_NONE>
ああ 疲れた ･ ･ ･",""
"5c07","<C_YELLOW>男<C_NONE>
鉱夫の中に やたらに 話好きの
じいさんがいて いちど話し出すと
なかなか やめてくれないんだ。

昔から ここに いたらしくて
ここの名物じいさんだそうだよ。",""
"5aa7","<C_YELLOW>老人<C_NONE>
鉱山のほうも なんとか復旧できたし
モンスターも いなくなって
ひと安心じゃよ。",""
"5ca1","<C_YELLOW>武器屋<C_NONE>
はい いらっしゃい。<RET_N>",""
"5cbe","またどうぞ。",""
"5ccb","<C_YELLOW>道具屋<C_NONE>
いらっしゃいませ。
どのような ご用でしょうか？<RET_N>",""
"5d03","また来てくださいね。",""
"5d7b","どれを 売ってくれますか？
<RET_N>",""
"5d96"," Gold になるけど
それでも よろしいですか？
<RET_N>",""
"5dc2","それは残念です。

<RET_N>",""
"5dd4","どうも ありがとうございます。
<RET_N>",""
"5d18","おや？これ以上持てないようですね。

<RET>",""
"5d3c","どれを買ってくれますか？
<RET_N>",""
"5d56","<ITEM>だね。
どうも ありがとう。

<RET>",""
