"5bd4","<C_YELLOW>子供<C_NONE>
ねえ モンスターって 怖いんでしょ？いつまで いるんだろう 町から
出られなくて つまんないよ。",""
"5c36","<C_YELLOW>男<C_NONE>
おれは 貿易商だから 仕事で
ウォンリークに 行ったりするんだよ。

向こうでも やっぱり モンスターが
出てきていて 大騒ぎをしていたよ。
いったい どうなるんだろうな。",""
"5cdb","<C_YELLOW>男<C_NONE>
この前 モンスターを 見てみようと
思って わざわざ クルスの方まで
行ってみたんだ。

災害のお守りを ７つも持ってたから
すっかり 安心していたんだよ。

そうしたら なぜか 知らないけど
モンスターが おそってきたんだ。
それで 夢中で 逃げていたら 石に
つまづいて けがをしたんだよ。

せっかく ７つも買ったのに 全然
役に立たないんだぜ。
あの商人に だまされちゃったよ。",""
"5e42","<C_YELLOW>女<C_NONE>
災害のお守りって インチキだった
らしいわよ。
買わなくて よかったわ。",""
"5e8c","<C_YELLOW>老人<C_NONE>
フン やっぱり 災害のお守りなんて
インチキだったようじゃ。
わしの 言ったとおりじゃわい。",""
"5eeb","<C_YELLOW>男<C_NONE>
まもなく ロンド行きが 出発します。ご利用の方は お早めに乗船ください。

海の上だったら モンスターも
いない ･ ･ ･ はずですから
安心してください。",""
"5f7f","<C_YELLOW>男<C_NONE>
お客さん 切符を出してください。
<PAGE>
<Xf8287417><JUMP5feb>船に 乗りますか？
<Xf69229><JUMP602a><Xf9000200><ASM6b26><Xf828af17><JUMP5feb><Xf028><SET0400><ITEM>を 渡しました。<SND0103><END>
<LOC5feb>持ってないなら 乗せられませんよ。
向こうで 買ってきてください。<LOC602a>",""
"602b","<C_YELLOW>女<C_NONE>
いらっしゃいませ。
船に乗るなら 切符を買ってください。１枚 100 Gold です。

<Xf2a861><JUMP6159><Xf65317><JUMP6178>切符を 買いますか？<Xf69229><JUMP610d><Xf3a861><Xf128><CLEAR>船に乗るときに この切符を出さないと乗せてくれませんから、落したりしてなくさないように してくださいね。<END>
<LOC610d><CLEAR>あら そうですか ･ ･ ･
切符がないと 船には乗れないのよ。
わかってるわよね？<END>
<LOC6159>お客さん お金が 足りないわよ。<END>
<LOC6178>お客さん これ以上 持てない
みたいですけど ･ ･ ･",""
"61ac","<C_YELLOW>宿屋<C_NONE>
この宿は 国王さまが お泊まりに
なったことも あるんですよ。
だから １晩 100 Gold になります。

<Xf2e662><JUMP62ae>よろしいですか？<Xf69229><JUMP6270><Xf3e662><SET0401><ASMd6e1><CLEAR>それは ありがとうございます。
ごゆっくり お休みください。<END>
<LOC6270><CLEAR>そうですか 国王さまが お泊まりに
なったことも あるのに ･ ･ ･<END>
<LOC62ae>おや お金が 足りないようですね。
またいらしてください。",""
"62ea","<C_YELLOW>武器屋<C_NONE>
ベルガの鉱山で 落盤が起こったので
材料が入ってこないんですよ。

鉱山が復旧したら 来てみてください。必ず 強い武器を 売りに出しますから。",""
"637a","<C_YELLOW>道具屋<C_NONE>
いらっしゃいませ。
どのような ご用でしょうか？<RET_N>",""
"63b2","また来てくださいね。",""
"642a","どれを 売ってくれますか？
<RET_N>",""
"6445"," Gold になるけど
それでも よろしいですか？
<RET_N>",""
"6471","それは残念です。

<RET_N>",""
"6483","どうも ありがとうございます。
<RET_N>",""
"63c7","おや？これ以上持てないようですね。

<RET>",""
"63eb","どれを買ってくれますか？
<RET_N>",""
"6405","<ITEM>だね。
どうも ありがとう。

<RET>",""
