"5bda","<X1e>船長<X04>
やあ お客さん。
もう 船が 故障する心配はないよ。
修理工が 手を抜いてただけなんだ。

ったく ボブの野郎 手ぇ抜きやがって。",""
"5c59","<X1e>船長<X04>
もう 故障は しないはずだ 安心して
のってくれ。

<Xf8287417><JUMP5cd5>船に のりますか？
<Xf69229><JUMP5d07><Xf9000204><ASM6b26><Xf828af17><JUMP5cd5><SET0400><Xf028><X0e>を 渡しました。<X0c0301><END>
<LOC5cd5>切符が ないじゃないか。
向こうで 買ってきてくれ。<END>
<LOC5d07>心配するなよ 大丈夫だって
言ってるだろ。",""
"5d30","<X1e>修理工のボブ<X04>
この間 定期船を 修理したんだけど
おれの修理した所が 完全に直って
なかったみたいなんだ。

たまたま船長が 見つけたから
給料を へらされちゃったよ。",""
"5dcf","<X1e>男<X04>
<IF0015><JUMP5e3b>赤スライムが いなくなったのは
いいんだけど もっと たちの悪い
モンスターが うろついてるとはなあ。<END>
<LOC5e3b><IF00ff><JUMP5e9a>あのモンスターどもは いつに
なったら いなくなるんだろう。
これじゃ 安心して 眠れないよ。<END>
<LOC5e9a>あの いまいましい やつらが
いなくなってくれたので これからは
安心して 眠れるわい。",""
"5eed","<X1e>老人<X04>
昔 この町の西に 流血の洞窟という
洞窟があったんじゃ。

そこに 恐ろしいモンスターどもが
すみついて 子供を いけにえに
出すようにと 言ってきたのじゃ。

<IF00ff><JUMP5fbf>また あのときのように ならねば
いいのじゃが ･ ･ ･<END>
<LOC5fbf>また あのときのように ならなくて
本当に よかったのう。",""
"5ff6","<X1e>男<X04>
この町の武器屋が 新しく呪文屋を
始めたんだけど 今度は けっこう
客が来ているみたいだぜ。",""
"6053","<X1e>男<X04>
いらっしゃい。
もう 船の故障は 直ったよ。

ネリアまで行くには 切符１枚で
料金は 100 Gold だ。

<Xf65317><JUMP6157><Xf27161><JUMP613b>切符を 買いますか？<Xf69229><JUMP6112><Xf37161><Xf128><X08>はい どうぞ。船に のるまで なくさないでください。<END>
<LOC6112><X08>やっぱりね。
買わないと 思いましたよ。
<END>
<LOC613b>お金が 足りないじゃないか。<END>
<LOC6157>もう 持てないみたいだよ。",""
"6175","<X1e>バーテン<X04>
<IF0411><JUMP61c5><IF0412><JUMP6192><IF0413><JUMP62ef><LOC6192>未成年に 酒は出せないな。
悪いけどあきらめてくれ。<END>
<LOC61c5><IF0029><JUMP62ef>ああっ ランドーさんじゃないか。

あなたには 酒は 出せないな。
いつも いつも つけをためるだけで
払ったことなんか ないんだから。

<SET0029><CH1>
そんなこと 言うなよ。
これからは つけになんかしないで
金 払って 飲むからよ。

<X1e>バーテン<X04>
うーん 本当でしょうね？
それじゃあ 今までのことは 忘れて
あげましょう。<END>
<LOC62ef>１杯 10 Gold だけど <Xf25163><JUMP6340>酒を飲むかい？<Xf69229><JUMP633f><Xf35163><X08>はい どうぞ。<Xf6e0d6><JUMP633e>

<SET0418><ASMd6da><CLEAR0418><LOC633e><END>
<LOC633f><RET_IL><LOC6340>金が足りないよ。",""
"6355","<X1e>呪文屋<X04>
はい いらっしゃい。
最新の呪文は いかがですか。<RETN>",""
"638e","またどうぞ。",""
"639b","<X1e>道具屋<X04>
いらっしゃいませ。
どのような ご用でしょうか？<RETN>",""
"63d3","また来てくださいね。",""
"644b","どれを 売ってくれますか？
<RETN>",""
"6466"," Gold になるけど
それでも よろしいですか？
<RETN>",""
"6492","それは残念です。

<RETN>",""
"64a4","どうも ありがとうございます。
<RETN>",""
"63e8","おや？これ以上持てないようですね。

<RET_IL>",""
"640c","どれを買ってくれますか？
<RETN>",""
"6426","<X0e>だね。
どうも ありがとう。

<RET_IL>",""
