"5c89","<C_YELLOW>オセ<C_NONE>
わしが このシリカの村の村長じゃ。
昔は わしとゲームをした者にだけ
呪文を教えていたのじゃ。

でも、今は ゲームの 相手をしても
何も 教えてあげないのじゃよ。
わっはっは ･ ･ ･",""
"5d3b","<C_YELLOW>セオラ<C_NONE>
おやおや 珍しい。
こんな 老人ばかりの村に
お客さんが お見えになるなんて。",""
"5d8e","<C_YELLOW>セリム<C_NONE>
ここに打つと あれがこうなるから
あそこに打って、そうしたら
ぶつ ぶつ ･ ･ ･",""
"5de2","<C_YELLOW>オレム<C_NONE>
イラ イラ イラ
いつまで 考えとるんじゃ まったく
イラ イラ イラ イラ",""
"5e2f","<C_YELLOW>アベル<C_NONE>
ハッハッハ これで どうじゃ？",""
"5e55","<C_YELLOW>タバル<C_NONE>
ムムムッ また負けそうじゃ ･ ･ ･
また 地震でも 起こらぬかのお ･ ･ ･",""
"5ea1","<C_YELLOW>リゾン<C_NONE>
この新しいゲームが できたら きっと話題になることじゃろう。
今から 名前を 考えておくかな。",""
"5f04","<C_YELLOW>ガンク<C_NONE>
やっぱり ゲームというものは
おもしろいものじゃわい。",""
"5f42","<C_YELLOW>ハンナ<C_NONE>
おじいさんたら たまたま ゲームで
勝ったものだから よろこんでいて
たいへんなんですよ。",""
"5fa1","<C_YELLOW>ロデリック<C_NONE>
はて そこの一番でかいの。
お前さん わしのこと知らぬか？

<CH3>
シンディ 知らない。

<C_YELLOW>ロデリック<C_NONE>
そうか それは よかった。

<CH0>
なにか あるんですか？

<C_YELLOW>ロデリック<C_NONE>
いや なんでもない。",""
"605d","<C_YELLOW>オレア<C_NONE>
昔 わしら賢者は ラスタバンという
地から 各地にちらばり 人々に呪文を教えてあげていたのじゃ。

しかし 呪文の書が 売買されるようになってしまって わしらの役目も
なくなってしまってのう。

この辺で ゲームをやりはじめたら
だんだんと 人があつまってきて
村にまで発展したのじゃよ。",""
"6174","<C_YELLOW>アルノー<C_NONE>
ロンドの武器屋は 呪文がよく売れて
もうかっとるから 売り上げの半分を
わしにくれるそうじゃ。",""
"61da","<C_YELLOW>ディーム<C_NONE>
わしは ヒュールの専門家なのじゃが
ヒュールより効果のある 攻撃呪文を
研究しておるのじゃ。

攻撃力は 何とか ヒュールより
増えたのじゃが 敵全体に 氷の矢を
出せなくて 困っておる。

何か 手がかりになる物でも あれば
いいのじゃが ･ ･ ･<Xf8707417><JUMP6660>

<CH1>
そういえば ディームじいさん。

<C_YELLOW>ディーム<C_NONE>
何じゃ ランドー。

<CH1>
この杖を 調べてみな。
何か 手がかりになるぜきっと。

<ASMd794><SET0040><ITEM><C_GREEN>を渡しました。<SND0103><C_NONE>

<C_YELLOW>ディーム<C_NONE>
ムムムッ。

どっ どこで手に入れたのじゃ？
これは フラムよりも 強力な呪文が
かかっておるが ･ ･ ･

なんと これはブラムナではないか !!ブラムナとは こんなにも簡単な
仕組みじゃったのか ･ ･ ･

おお そうじゃ こうしちゃおれん。<WAIT>
ちょっと待て。

<C_GREEN>ディームは 何かを 書き込んでいます。<C_NONE>

<C_YELLOW>ディーム<C_NONE>
ほら どうじゃ ブラムナの完成じゃ。

それから ここを こうすると ･ ･ ･<WAIT>
わしの念願じゃった ヒュドナじゃ。

ランドー 実験をしてくれるな？

だいじょうぶじゃよ まちがっても
赤スライムなど 出やせん。

<CH1>
くっ どうして それを知ってるんだ？

<C_YELLOW>ディーム<C_NONE>
昔 わしが ヒュドナの研究を 始めて
すぐのころじゃ。

失敗して 白スライムをたくさん
出したことが あったのじゃ。

あの赤スライムを 見たら すぐに
犯人が だれなのか わかったわい。

それよりも 実験をしてくれるな。

<CH1>
わかったよ やりゃいいんだろ。<LOC6660>",""
"6661","<C_YELLOW>ディーム<C_NONE>
どの呪文の書が いるのじゃ？<RET_N>",""
"6688","いらぬのか。
それでは 必要なときに 来るがいい。",""
"66b8","<ITEM>でよいのじゃな。",""
"66ca","もう それ以上 持てぬぞ。
持ち物を 減らしてから 来なされ。",""
"6704","<C_YELLOW>マルク<C_NONE>
わしゃ 呪文が 売られとる町を
教える 案内係のようなものじゃ。

<RET>",""
"674b","どの呪文のことを 知りたいのじゃ？<RET_N>",""
"676d","<CLEAR><ITEM>か ･ ･ ･
それだったら <RET>",""
"6786","に 行けば
売っておる。

<RET>",""
"679e","<CLEAR>呪文の ある所を 知りたかったら
また来るがいい。",""
