"5bff","<C_YELLOW>女<C_NONE>
うちの人は 息子に 漁のしかたを
教えるため 海に 出ていきました。
大漁だと いいんですけど。",""
"5c5e","<C_YELLOW>老人<C_NONE>
あのモンスターは フレイアさまを
信じぬ者への けいこくだったのじゃ。

これにこりて みんな 竜の祭に
来るようになることじゃろう。",""
"5ce3","<C_YELLOW>男<C_NONE>
<IF_NOT0404><JUMP5d4d><IF0405><JUMP5d4d><SET0405>ようこそ ラヌーラへ。
お帰りのさいも ワプの翼ではなく
ボアード海運を ご利用ください。<END>
<LOC5d4d>このごろ ワプの翼を使う人が 多くて定期船の人気が あまりないんですよ。

でも やっぱり 船旅というのは
いいもんですよね。",""
"5dc3","<C_YELLOW>男<C_NONE>
お客さん 切符をお願いします。
<PAGE>
<Xf8287417><JUMP5e8c>船に 乗りますか？
<Xf69229><JUMP5e66><Xf9000200><ASM6b26><Xf828af17><JUMP5e8c><Xf028><SET0400><ITEM>を 渡しました。<SND0103><PAGE>
毎度 ボアード海運を ご利用いただきありがとうございます。<END>
<LOC5e66><CLEAR>早く お乗りください。
出発しますよ。<END>
<LOC5e8c>切符が ないみたいですよ。",""
"5ea6","<C_YELLOW>男<C_NONE>
こんな状態になっても まだ 出入国の手続きを やってるんだぜ。

と言っても 今は ただ 名前をかけば
いいらしいけどな。",""
"5f1c","<C_YELLOW>男<C_NONE>
おれは 予備役の 兵士なんだ。

はじめは 竜の祭の準備で 人手が
足りなくて かりだされたんだが
とうとう 召集されてしまったよ。",""
"60d5","<C_YELLOW>女<C_NONE>
このごろ 聖域に お祈りに 来る人が
増えて モンスターが 出てくる前の
２倍ぐらいになったの。

モンスターは 女神 フレイアさまが
おつかわしに なったという うわさのせいでしょうね きっと。",""
"618f","<C_YELLOW>女<C_NONE>
ここは うちのおじいちゃんの
古くからの友人の 家なんです。

セリスの町が 住めるようになるまで
お世話になっているんです。",""
"620b","<C_YELLOW>ギャリー<C_NONE>
もう少しして おちついたら 竜の祭をやるそうじゃ。

待ち遠しくて しかたが ないわい。",""
"6268","<C_YELLOW>女<C_NONE>
いらっしゃいませ。
切符は １枚 100 Gold ですが
<Xf23063><JUMP6302><Xf65317><JUMP6318>切符を 買いますか？<Xf69229><JUMP62eb><Xf33063><Xf128><CLEAR>はい どうぞ。
また おいでください。<END>
<LOC62eb><CLEAR>あら そうですか ･ ･ ･<END>
<LOC6302>お金が 足りないわよ。<END>
<LOC6318>これ以上 持てないわよ。",""
"6334","<C_YELLOW>武器屋<C_NONE>
いらっしゃい。<RET_N>",""
"634c","またどうぞ。",""
"6359","<C_YELLOW>道具屋<C_NONE>
いらっしゃいませ。
どのような ご用でしょうか？<RET_N>",""
"6391","また来てくださいね。",""
"63a6","おや？これ以上持てないようですね。

<RET>",""
"63ca","どれを買ってくれますか？
<RET_N>",""
"63e4","<ITEM>だね。
どうも ありがとう。

<RET>",""
"6409","どれを 売ってくれますか？
<RET_N>",""
"6424"," Gold になるけど
それでも よろしいですか？
<RET_N>",""
"6450","それは残念です。

<RET_N>",""
"6462","どうも ありがとうございます。
<RET_N>",""
