"5aa6","<X1e>男<X04>
おれたち夫婦は ジェラルドさまの
別荘の管理をしてるだよ。"
"5ae4","<X1e>女<X04>
別荘の そうじは 女中さんたちが
やるから しばらくは やらなくて
いいんですって。"
"5b38","<X1e>ジェラルド<X04>
<IF007b><JUMP5d1f><IF0079><JUMP5cd0><SET0079>きっ きさまらだな !!
わしの かわいいフローラを
かどわかしおってからに !!

わしの かわいいフローラを どこに
連れていったのだ？

<CH0>
ちょ ちょっと 待ってください。
ぼくたちには どういうことなのか
さっぱり わかりませんが。

<X1e>ジェラルド<X04>
なんだ お前らが あやしいと思ったが違ったのか。

わしの かわいいフローラが
いなくなってしまったのだ。
だれかに 誘拐されてしまったのだ。

おい お前たち。
<LOC5cd0>もし わしの かわいいフローラを
連れてきたら 好きなだけ ほうびを
くれてやるぞ。<END>
<LOC5d1f>これは アトラス王子さま。
私の かわいいフローラは
どうしたのですか？

なにか 王子さまの お気にめさない
ところでも あったのですか？"
"5da1","<X1e>ジェラルド夫人<X04>
<IF007b><JUMP5e37>あぁ フローラ。
どこに行ってしまったの。

きっと ナッシュの館を 出たことが
ショックだったのね。
あぁ かわいそうなフローラ ･ ･ ･<END>
<LOC5e37>アトラス王子さま フローラが なにか悪いところでも あるのでしたら
直させます。

どうか もう一度 フローラを
かわいがってくださいませ。"
"5eba","<X1e>チャーリー<X04>
<IF007b><JUMP5f53>むっ また あなたたちですか。
だんなさまは 食後の 睡眠中です。

もし 起きていたとしても 今は
取り込み中ですから お引き取り
くださいな。<END>
<LOC5f53>お嬢さまは どうしたのですかな？
まさか 他の方が 現れたのですか。

でも お嬢さまほど 王子さまに
お似合いの方など いないでしょう。
お考え直したほうが よいのでは？"
"5ff3","<X1e>男<X04>
<IF007b><JUMP6056>お嬢さまが 突然 いなくなったんだ。だんなさまは 誘拐されたとか
言っているけど 本当かな？<END>
<LOC6056>お嬢さまは まだ帰ってこないけど
だいじょうぶなんだろうか？"
"6091","<X1e>男<X04>
おら もうすぐ 釣りに行かなきゃ
なんねえだよ。
じゃましねえでくれ。"
"60d9","<X1e>女中<X04>
お嬢さまが いなくなる前の日に
だんなさまと 言い争っているのを
見ちゃったのよ。

お嬢さまが いなくなったのは
きっと そのせいよ。"
"615f","<X1e>女中<X04>
フローラお嬢さまは 今ごろ
どうしているのかしら。<IF007b><JUMP6201>

お嬢さまは 人を うたがうと
いうことを 知らないから
変な人に だまされて いなければ
いいんだけど ･ ･ ･<LOC6201>"
"6202","<X1e>ジェニー<X04>
<IF007b><JUMP6297>お嬢さまが いなくなる前に
女神 フレイアさまが 助けを
求めていると おっしゃっていました。

いったい お嬢さまは
どうなさったのかしら。<END>
<LOC6297>あら たしか お嬢さまと いっしょに
旅を されていた方でしたね。
お嬢さまは どうなさったのですか？"
