"5caa","<C_YELLOW>情報屋 トミー<C_NONE>
なあ なあ なあ なあ なあ
知ってるか？

バズヌーンの城にいる ハリーが
世界最強の武器を作ったらしいぜ。",""
"5d1f","<C_YELLOW>老人<C_NONE>
情報屋 トミーが 地底人が どうのと
言っておった。

やつの情報は 今まで 間違ったことがないのが自慢なんじゃがその情報源はいったい 何なのじゃろうか。",""
"5db7","<C_YELLOW>漁師<C_NONE>
よお シーラスって魚 知ってるか？
光る物を見ると かたっぱしから
飲み込んじまう 変な魚なんだ。

それで 腹から スプーンやコインが
出てくるんだけどよ。

そのスプーンとか コインてのは
どっから 拾ってくるんだろうな。<WAIT>
もしかして ･ ･ ･ ･ ･ ･ ･ ･ ･ ･

んっ !?  ネタがなくなっちまったぜ。",""
"5f2f","<C_YELLOW>船員<C_NONE>
<IF0405><JUMP5f81>さあ いらっしゃい。
世界３大名所めぐりのクルージングはいかがですか。<END>
<LOC5f81>どうでしたか お客さん？

ガイドもきれいだし ３大名所にも
行けたし 10000 Gold でも 損を
したきには ならないでしょ。",""
"5ff3","<C_YELLOW>船員<C_NONE>
世界３大名所めぐりのクルージングはいかがですか。

一周 10000 Gold ですけど。
<Xf2e160><JUMP608b>船に のりますか？
<Xf69229><JUMP60a7><ASM6b26><Xf3e160><SET0404><CLEAR>10000 Goldを 払いました。<SND0103><END>
<LOC608b>お金が たりないようですね。<END>
<LOC60a7><CLEAR>そうですか ･ ･ ･ 息抜きになって
いいと思うんですが ･ ･ ･",""
"60e5","<C_YELLOW>船員<C_NONE>
何で こんな物を おれたちが
持ってなきゃ ならねえんだろう。

地面に直接 立てときゃいいのに
誰かに盗まれると いけねえから
だめなんだってよ。<WAIT>
あー 疲れた。",""
"6184","<C_YELLOW>船員<C_NONE>
あー もう 腕が疲れて 動けねえよ。
おれたち １日じゅう こうしてなきゃならねえんだ。",""
"5ed2","<C_YELLOW>ジゴ<C_NONE>
<IF0408><JUMP5efc>やあ 王子さま 元気そうだな。<END>
<LOC5efc><SET0400>やあ 王子さま 疲れているなら
休んでいってくれ。",""
"61de","<C_YELLOW>道具屋<C_NONE>
いらっしゃいませ。
どのような ご用でしょうか？<RET_N>",""
"6216","また来てくださいね。",""
"628e","どれを 売ってくれますか？
<RET_N>",""
"62a9"," Gold になるけど
それでも よろしいですか？
<RET_N>",""
"62d5","それは残念です。

<RET_N>",""
"62e7","どうも ありがとうございます。
<RET_N>",""
"622b","おや？これ以上持てないようですね。

<RET>",""
"624f","どれを買ってくれますか？
<RET_N>",""
"6269","<ITEM>だね。
どうも ありがとう。

<RET>",""
