"5efe","<X1e>ガード<X04>
中に入りたいのか？
<Xf65317><JUMP5f59><SET0403><ASMd942>それじゃ これを持っていけ。

<X0e><X1c>をもらいました。<X0c0301><X04><END>
<LOC5f59>入りたいなら 通行証を渡すから
持物を へらしてこい。",""
"5f8d","<X1e>ガード<X04>
ここは <ASMd960>への 出口だ。
<Xf64dd9><JUMP6039>外に出るなら 通行証を出せ。

通行証を渡しますか？
<Xf69229><JUMP6007><X08><ASMd955><SET0403><X0e><X1c>を渡しました。<X0c0301><X04><END>
<LOC6007><X08>変な行動をすると すぐに
とりおさえてやるからな。<END>
<LOC6039>通行証が なければ 出すことはできん。",""
"607c","<X1e>ガード<X04>
<IF0124><JUMP60ca>この先は 城の正門につながっている。お前らは 立入禁止の場所だ。<END>
<LOC60ca><IF0402><JUMP61b2>この先は 城の正門につながっている。お前らは 立入禁止の場所だ。<IF0015><JUMP61e2><IF_NOT0412><JUMP61e2><SET0184><SET0401>

<CH2>
イズーの町長さんの 使いで
ナレサ隊長に お会いしたいのですが。

<X1e>ガード<X04>
イズーの町長？
ああ あの方のことか。

それだったら 隊長からきいている。
<LOC61b2>隊長は 正門のあたりにいるはずだ。
入っていいぞ。<LOC61e2>",""
"61e3","<X1e>ガード<X04>
<IF0124><JUMP60ca>お前らが 入れるのは ここまでだ。
この先は 一部の者を除いて だれも
入ることは できないぞ。",""
"624c","<X1e>ガード<X04>
じゃまだ どけ !!",""
"62ce","<X1e>男<X04>
へっへっへ。 あんたたち ちょっと
見ていかないか？

となりにいるやつが いい物を
持ってるんだ。",""
"6330","<X1e>男<X04>
この町は 昔 ファーゲスタの中で
いちばん にぎやかな 町だったんだ。

いろいろな地方から たくさんの人が
やってきていたんだよ。

でも 地方間の移動が 禁止に
なってからは こんなふうに 静かに
なっちまったんだ。",""
"63ff","<X1e>男<X04>
いやな世の中に なっちゃったよな。
ここで さわいでいると ガードたちがすぐに寄ってくるぜ。

それで たぶん うるさいと言って
ここから 追い出すんだ。
あーやだやだ。",""
"64a3","<X1e>女<X04>
私 ここで 待ち合わせしてるんだけどなかなか こないのよ。

あんまり ここに長くいると ガードがうるさいし 困っちゃったわ。",""
"651e","<X1e>ヤミ屋<X04>
あんたたち どんな用なんだ？<RETN>",""
"6543","おれは よく ここに来てるから
何か用があったら また来てくれ。",""
"65dd","何を 売ってくれるんだ？
<RETN>",""
"65f6"," Gold なら買ってやるけど
それで いいか？
<RETN>",""
"6620","それじゃ しかたねえな。

<RETN>",""
"6639","ありがとよ。
<RETN>",""
"6580","これ以上 持てないみたいだな。

<RET_IL>",""
"659f","何が 買いたいんだ？
<RETN>",""
"65b4","<X0e>だな。
ガードに 見つかるなよ。

<RET_IL>",""
"6266","<X1e>ガード<X04>
わかっているだろうが 他の地方に
行くことは禁止されている。
入った所からしか 出られないからな。",""
