"5fb0","<C_YELLOW>ガード<C_NONE>
中に入りたいのか？
<Xf65317><JUMP600b><SET0403><ASMd99d>それじゃ これを持っていけ。

<ITEM><C_GREEN>をもらいました。<SND0103><C_NONE><END>
<LOC600b>入りたいなら 通行証を渡すから
持物を へらしてこい。",""
"603f","<C_YELLOW>ガード<C_NONE>
ここは <ASMd9bb>への 出口だ。
<Xf6a8d9><JUMP60eb>外に出るなら 通行証を出せ。

通行証を渡しますか？
<Xf69229><JUMP60b9><CLEAR><ASMd9b0><SET0403><ITEM><C_GREEN>を渡しました。<SND0103><C_NONE><END>
<LOC60b9><CLEAR>変な行動をすると すぐに
とりおさえてやるからな。<END>
<LOC60eb>通行証が なければ 出すことはできん。",""
"612e","<C_YELLOW>ガード<C_NONE>
<IF0185><JUMP63ad><Xf69ed7><UNSET011c><IF_NOT011c><JUMP6438>お前らは ゲイルの所で 働いている
やつらだな。お前らも 収容所いきだ。<WAIT>
こいっ !!

<CH1>
フン。お前らなんかに 捕まるもんか。捕まえられるもんなら 捕まえて
みろってんだ !!

<CH2>
ランドーさん お待ちになって。<WAIT>
ここは おとなしく この人たちの
言うとおりにしましょう。

<CH1>
なんでだ !!
こんなやつら ひとひねりだぞ !!

<CH2>
アトラスさま いかがでしょう？

<CH0>
う～ん ･ ･ ･<WAIT>
んっ !? ･ ･ ･<WAIT>
そうか !! わかった そうしよう。

<CH1>
なにが 「そうか」 なんだ？<WAIT>
<CH3>
城 入る

<CH1>
･ ･ ･ !? そうか !!

おい シンディ。<WAIT>
おめえ ほんとは頭いいんじゃねぇか？

<C_YELLOW>ガード<C_NONE>
なにを グズグズしている。
いたい目を 見たくなければ
サッサと来い !!

<CH1>
ハイハイ わかりました。<END>
<LOC63ad>何だ お前らは ？
用がないなら どこかに行け。

交替で 門番を やるはめになって
腹がたってるんだ。
さっさと うせないと 収容所に
送ってやるぞ。<END>
<LOC6438>何だ お前らは ？
用がないなら どこかに行け。

もうすぐ 交替だから めんどうな
ことには かかわりたくないんだ。<WAIT>
わかったら さっさと 行け !!",""
"64c0","<C_YELLOW>ガード<C_NONE>
じゃまだ どけ !!",""
"6542","<C_YELLOW>男<C_NONE>
へっへっへ。 あんたたち ちょっと
見ていかないか？

となりにいるやつが いい物を
持ってるんだ。",""
"65a4","<C_YELLOW>男<C_NONE>
この町は 昔 ファーゲスタの中で
いちばん にぎやかな 町だったんだ。

いろいろな地方から たくさんの人が
やってきていたんだよ。

でも 地方間の移動が 禁止に
なってからは こんなふうに 静かに
なっちまったんだよ。",""
"6675","<C_YELLOW>男<C_NONE>
いやな世の中に なっちゃったよな。
ここで さわいでいると ガードたちがすぐに寄ってくるぜ。

それで たぶん うるさいと言って
ここから 追い出すんだ。
あーやだやだ。",""
"6719","<C_YELLOW>女<C_NONE>
私 ここで 待ち合わせしてるんだけどなかなか こないのよ。

あんまり ここに長くいると ガードがうるさいし 困っちゃったわ。",""
"6794","<C_YELLOW>ヤミ屋<C_NONE>
あんたたち どんな用なんだ？<RET_N>",""
"67b9","おれは よく ここに来てるから
何か用があったら また来てくれ。",""
"67f6","<Xf00c><CLEAR><ITEM>は 弟といっしょに
仕入れてきたから イズーに 行っても売ってるはずだ。

よかったら イズーの 弟の所でも
買ってやってくれ。",""
"68ce","何を 売ってくれるんだ？
<RET_N>",""
"68e7"," Gold なら買ってやるけど
それで いいか？
<RET_N>",""
"6911","それじゃ しかたねえな。

<RET_N>",""
"692a","ありがとよ。
<RET_N>",""
"6871","これ以上 持てないみたいだな。

<RET>",""
"6890","何が 買いたいんだ？
<RET_N>",""
"68a5","<ITEM>だな。
ガードに 見つかるなよ。

<RET>",""
"64da","<C_YELLOW>ガード<C_NONE>
わかっているだろうが 他の地方に
行くことは禁止されている。
入った所からしか 出られないからな。",""
