"5b2a","<C_YELLOW>男<C_NONE>
<IF0130><JUMP5b9a><SET0130>おおっ !! せ、戦士の笛 !!
あ、あなたたちは イズーから
来たのですか？

さあ どうぞ お入りください。<END>
<LOC5b9a>そういえば そろそろ サピアの湖の
流れが変わるころでしたね。
すっかり忘れていましたよ。",""
"5bf1","<C_YELLOW>男<C_NONE>
<IF0131><JUMP5cb4><SET0131>よう お前ら よく平気だったな。
外には あんなにモンスターが
いるってのによ。

お !? 戦士の笛 !!
そういうことか。そいつを持てる
ぐらいだったら 平気だな。
キュベラの支部は 左のほうだ。<END>
<LOC5cb4>ここは おれに まかせてくれ。

おれだって この辺じゃ 名のとおったレジスタンスなんだ。
安心してくれよ。",""
"5d19","<C_YELLOW>子ども<C_NONE>
あー つまんないよー。
もうなおってるのになー。",""
"5d51","<C_YELLOW>女<C_NONE>
この子 カゼを ひいてしまったのよ。まだなおってないくせに 外に遊びに
いきたがるから困ってるのよ。",""
"5db7","<C_YELLOW>老人<C_NONE>
<IF0132><JUMP5dca><SET0132><JUMP5deb><LOC5dca><IF0144><JUMP60a4><IF013d><JUMP6153><IF013c><JUMP60de><IF0134><JUMP6072><IF0460><JUMP60a4><JUMP6072><LOC5deb>おお これは 珍しい方が おみえに
なられたものじゃ。

<CH0>
失礼ですけど
イシュタに お知り合いの方は
いらっしゃいませんか？

<C_YELLOW>老人<C_NONE>
イシュタの リーダーじゃろ？
知ってるもなにも やつとは 古い
つき合いでな。

わしは もともと イシュタにいたが
この辺の 若い連中をまとめて 支部を作るためにやってきたんじゃ。

<CH0>
そうですか リーダーに ここへの
抜け道を 教えてもらって
やって来たんです。

<C_YELLOW>老人<C_NONE>
そうか。で どんな 用なんじゃ？
作戦が 決まったとでもいうのか？

<CH0>
作戦？ そんなことは何も ･ ･ ･

<C_YELLOW>老人<C_NONE>
そうか では 今のことは 忘れてくれ。<IF0460><JUMP60a3>で このモンスターが いる中を
わざわざ 来たのは なぜなのじゃ？

<CH0>
プロスの収容所は どうやって行けば
いいのですか？

<SET0134><C_YELLOW>老人<C_NONE>
<LOC6072>プロスなら ここから 南西の方に
行ったところじゃ。<LOC60a3><END>
<LOC60a4>作戦のことは 忘れてくれ 君たちにはまだまだ 先のことじゃ。<END>
<LOC60de><SET013d>どうしたのじゃ？
ずいぶんと 考え込んで いるように
みえるが？

<CH0>
プロスの収容所に 入る方法は
ないのですか？

<C_YELLOW>老人<C_NONE>
<LOC6153>収容所へは なかなか入れんぞ。

あそこには ２重の門があり たとえ
ひとつめが 開けられたとしても
もうひとつを 開けている間に
捕まってしまうのじゃ。

以前 捕まった仲間を 助ける作戦で
１０人の 若い連中を あそこに
送ったのじゃが それっきり だれも
帰ってきておらん。

それ以来 わしらは 正面から入るのをあきらめておるのじゃよ。",""
"6290","<C_YELLOW>男<C_NONE>
昔は この村も プロスの収容所に
面会に行く人たちで にぎやかな村
だったんだ。

ところが 今の皇帝が 即位して 他の
地方に 行くことを 禁止したから
この村が 孤立してしまったんだよ。

たまにユイシスに行って 珍しい人に
会うぐらいしか 楽しみはないな。",""
"6386","<C_YELLOW>女<C_NONE>
プロスには昔から収容所があったけどあそこから 脱走できた人は だれも
いないらしいわよ。

かなり 警備がきびしいんでしょうね
きっと。",""
"640c","<C_YELLOW>ヤミ屋<C_NONE>
らっしゃい !! どんな ご用で？<RET_N>",""
"6433","まいどー。",""
"64b1","どれを 売るんでい？
<RET_N>",""
"64c6"," Gold だよ。いいかい？
<RET_N>",""
"64de","ひやかしは よくねえよ。

<RET_N>",""
"64f7","わりいね。
<RET_N>",""
"643e","お客さん 冗談はいけねえや。
それ以上は 持てねえんだぜ。

<RET>",""
"6477","なにを買うんでい？
<RET_N>",""
"648b","<ITEM>かい。
へい まいど どうも。

<RET>",""
